Method,n10,n20,n40,n80,n160,n320,n640,n1280
Midpoint,7.157419979173518e-04,1.789746401386072e-04,4.474610692994929e-05,1.118667967370257e-05,2.796679476446684e-06,6.991704655234798e-07,1.747926554607204e-07,4.369816508642543e-08
Trapezium,1.431662930269528e-03,3.579604661763103e-04,8.949291301907358e-05,2.237340304422908e-05,5.593361686040410e-06,1.398341104463796e-06,3.495853200252697e-07,8.739633194920771e-08
Simpson,9.534657783305533e-07,5.964481175624314e-08,3.728632957944455e-09,2.330531323480045e-10,1.456479381545250e-11,9.119371924271036e-13,5.906386491005833e-14,3.330669073875470e-15
Gauss3,8.519851490973451e-13,1.287858708565182e-14,6.661338147750939e-16,4.440892098500626e-16,1.110223024625157e-15,0.000000000000000e+00,2.442490654175344e-15,4.884981308350689e-15
Gauss5,0.000000000000000e+00,6.661338147750939e-16,0.000000000000000e+00,6.661338147750939e-16,1.110223024625157e-15,6.661338147750939e-16,3.108624468950438e-15,1.332267629550188e-15
ClenshawCurtis,1.671348902691181e-01,8.829754467330608e-02,4.531583310324905e-02,2.294872526374525e-02,1.154700518503660e-02,5.791659506675151e-03,2.900368749156890e-03,1.451319108983773e-03
